order_id,driver_id
100042151807,493239186093
100081753505,816410658278
100161922318,857332913941
100241210016,225160660940
100257841517,918995571128
100289083506,999992366004
100340017514,642134834655
100834726211,704786594751
100851472409,835117766244
101032300407,832577414020
101076130600,722223128535
101235233017,927262640222
101375162815,234191348963
101443983416,654658625095
101506182804,582505577992
101548109602,454089366335
101597066600,177042430200
101674434414,474040566374
101780066710,669511837951
102027030312,944041697160
102200016315,234191348963
102256738518,158150658963
102348481303,153071208821
102384329060,674300726170
102483157180,874365035977
102799413817,370926431846
102909772804,294661493753
102989674213,310175710766
103060506603,383124047371
103068442701,303943504715
103165968103,495546329568
103446678709,332874785820
103493272201,292747029679
103556175410,712542490255
103567408715,976664830960
103675908119,970917365430
103701494617,360691011009
103889800511,851826962373
103896127904,981411441414
103947567417,758012378193
103965468316,923376946756
104103547203,943546478048
104133528204,510852395930
104236985500,965437218381
104370664009,818744737057
104456714214,434581980698
104701533709,346917659392
104724561008,201194812760
104801913613,196864828370
104877464016,793041821498
104957998700,342972653550
104993547040,443554097100
105018897709,181740076163
105282339314,669511837951
105438935709,383124047371
105442874710,219435696186
105457393404,925098578162
105525805603,179160022930
105553219911,679474243107
105699819400,531171939025
105792733816,401524335716
105798500600,360213484113
105877941607,871726763409
105898302110,325967638466
105988374713,308640691442
106067738160,957200296389
106084968001,325027485760
106092983610,950508877480
106257352503,345909291326
106302156011,654062474593
106339020090,262675409150
106397836906,877516947520
106408151514,278731598896
106421386000,773666560270
106477690709,156319466076
106513111809,602435897167
106516481401,102595518630
106553756610,620935039655
106598783108,357474901003
106604743601,413600252167
106653218314,478257783607
106717331401,137732841602
106758631514,386471787276
106844960406,617796826823
106845516906,215535338912
106933194618,592641058910
107006106201,370926431846
107084148601,758012378193
107184885912,779140581705
107284170601,626669704897
107300338114,232446718814
107323714212,944041697160
107435145707,682888753634
107477558818,301419802878
107494364817,553944823293
107528004011,799405813411
107566844212,329933624950
107701079214,510611275270
107752080903,740992816023
107971900806,421135981077
108092772116,620328125643
108095154000,348948067766
108145899317,604295337205
108157078002,597483255460
108420836617,299859778020
108544674104,721386369875
108559506209,769451233401
108605550800,413037949834
108658177080,102075977289
109074345713,232833506172
109188641118,942650672610
109219721305,964593982915
109270829316,919569099637
109305435505,684894330686
109389586809,996326998494
109652448111,137811101635
109667986818,208877258999
109684471700,827213173953
109807993319,886232831276
109869548717,767139346890
110008904517,675521202583
110021690201,706317930542
110053896514,425555469681
110065443713,404773926677
110144481805,276418065743
110207925308,722525641251
110290205713,108466096980
110347087190,665346100548
110631344403,181740076163
110726269811,479529526267
110765906190,482823405738
110892911110,597483255460
111003289010,377162258094
111020486910,838038001328
111168463150,516838806706
111198102060,268029241774
111454382080,990827675465
111716901203,634612848775
111869666718,442838485573
111908154713,306604173889
111910624180,377162258094
112526939819,790101315365
112713528213,623671869800
112815257706,615464469981
112863414309,525944668452
112939835002,858258530151
112969574019,913125228390
113070932104,943546478048
113195116080,500340929011
113255877918,146621481610
113348414508,917630094602
113355373008,470685508727
113465307416,472078432569
113530475409,104132800109
113569663507,119088552252
113661551317,952067279988
113677654100,741147798284
113732968060,544540082957
113743490317,682981716590
113808449317,894684569059
113896301010,247469274178
113913784500,979624336528
113947275160,456414333269
113993045911,110152772198
114000260803,915768986545
114035999216,664728903841
114096626603,235995572320
114204365705,397154104499
114321661915,185184818078
114392590700,294467193199
114530721610,360404476845
114581346013,773666560270
114620819611,153071208821
114627987612,870186505216
114846674710,404265998651
114931023400,828651957950
114962736116,838359798887
115019015102,179160022930
115026300607,689656135540
115200172415,266736191466
115298368911,402423010603
115559962105,309653138112
115662146203,779918786150
115712134130,621603685691
115776365306,964497427643
115928234014,783491793687
116120594016,526224822210
116289387805,163162611462
116361527211,105598579482
116487990001,799405813411
116533214102,516196970650
116565957700,130885652322
116575164203,244811245100
116615118114,832555602411
116681852705,204635885255
116706188717,865445001505
116838396117,449968930909
116899480105,755415385948
116940400019,411465394911
117045625802,285981643293
117077943316,618089044574
117195562819,765193491703
117300124715,847127184028
117344181409,562542858455
117406630819,161649295888
117517685510,173446720783
117522530907,438583926376
117622414813,326861407923
117667984607,375844826560
117921503508,459394316805
117930600415,992814175602
117996063519,310997361514
118008884716,742697736096
118137885218,634965488471
118334381204,585247457032
118489403705,183173064306
118595259306,270966746394
118650130214,310485097973
118717254509,958005755089
118834238207,751739463009
118901861018,252033557577
118956586914,716793400897
